Group,Seniority,Position,Location,Salary_b2b,Salary_permanent,Obligatory_skills,Optional_skills
Javascript,Mid,Mid Front-End Developer, Warszawa,10 000 - 12 000 PLN,No permanent information,"[{'HTML5': 'advanced'}, {'Vue.js': 'advanced'}, {'CSS3': 'regular'}, {'JavaScript': 'regular'}, {'SCSS': 'regular'}, {'Nuxt': 'regular'}]","[{'Git': 'nice to have'}, {'PHP 7.x': 'nice to have'}, {'Symfony 4': 'nice to have'}]"
Javascript,Mid,Mid Front-End Developer, Wrocław,10 000 - 12 000 PLN,No permanent information,"[{'HTML5': 'advanced'}, {'Vue.js': 'advanced'}, {'CSS3': 'regular'}, {'JavaScript': 'regular'}, {'SCSS': 'regular'}, {'Nuxt': 'regular'}]","[{'Git': 'nice to have'}, {'PHP 7.x': 'nice to have'}, {'Symfony 4': 'nice to have'}]"
Javascript,Mid,Front-End Software Developer, Warszawa,12 000 - 20 000 PLN,No permanent information,"[{'React': 'advanced'}, {'TypeScript': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Junior,Junior Front-end Developer with Vue.js, Bydgoszcz,4 800 - 6 000 PLN,4 000 - 5 000 PLN,"[{'JavaScript': 'junior'}, {'Vue.js': 'junior'}, {'CSS': 'junior'}, {'SQL': 'junior'}]",
Javascript,Senior,Senior Front-end Developer with Vue.js, Bydgoszcz,14 900 - 19 000 PLN,12 000 - 16 000 PLN,"[{'JavaScript': 'advanced'}, {'Vue.js': 'advanced'}, {'SQL': 'advanced'}, {'CSS': 'advanced'}]",
Javascript,Mid,Mid Front-end Developer with Vue.js, Bydgoszcz,7 000 - 12 000 PLN,5 800 - 10 002 PLN,"[{'JavaScript': 'regular'}, {'Vue.js': 'regular'}, {'CSS': 'regular'}, {'SQL': 'regular'}]",
Javascript,Mid,Frontend (Angular) Developer, Kraków,6 000 - 10 000 PLN,No permanent information,"[{'Angular': 'advanced'}, {'JavaScript': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}, {'Git': 'regular'}]",
Javascript,Senior,Lead Developer - Silicon Valley, Kraków,20 000 - 30 000 PLN,15 000 - 24 000 PLN,"[{'JavaScript (ES6+)': 'advanced'}, {'ReactJS': 'regular'}, {'WordPress': 'regular'}, {'TypeScript': 'regular'}, {'Redux': 'regular'}, {'DevOps': 'regular'}, {'Software Architecture': 'regular'}, {'PHP': 'regular'}, {'jQuery': 'junior'}]",
Javascript,Mid,React (17) Developer, Warszawa,9 000 - 15 000 PLN,9 000 - 15 000 PLN,"[{'JavaScript': 'regular'}, {'HTML/CSS': 'regular'}, {'React': 'regular'}]",
Javascript,Mid,Fullstack Developer (React&Node), Katowice,15 000 - 20 160 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'TypeScript': 'regular'}, {'Redux': 'regular'}, {'Node.js': 'regular'}]",
Javascript,Mid,Fullstack Developer (React&Node), Rzeszów,15 000 - 20 160 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'TypeScript': 'regular'}, {'Redux': 'regular'}, {'Node.js': 'regular'}]",
Javascript,Mid,Fullstack Developer (React&Node), Kraków,15 000 - 20 160 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'TypeScript': 'regular'}, {'Redux': 'regular'}, {'Node.js': 'regular'}]",
Javascript,Senior,Senior Fullstack Developer (React&Node), Poznań,18 500 - 26 500 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'TypeScript': 'advanced'}, {'Redux': 'advanced'}, {'Node.js': 'advanced'}]",
Javascript,Senior,Senior Fullstack Developer (React&Node), Wrocław,18 500 - 26 500 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'TypeScript': 'advanced'}, {'Redux': 'advanced'}, {'Node.js': 'advanced'}]",
Javascript,Senior,Full Stack Developer, Warszawa,20 000 - 25 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}]",
Javascript,Senior,Senior Frontend Developer {React}, Poznań,10 000 - 18 000 PLN,No permanent information,"[{'React': 'advanced'}, {'TypeScript': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}, {'GraphQL': 'regular'}, {'Node.js': 'junior'}, {'Docker': 'junior'}]",
Javascript,Mid,Frontend Developer, Wrocław,10 500 - 15 500 PLN,No permanent information,"[{'TypeScript': 'advanced'}, {'JavaScript': 'regular'}, {'HTML/CSS': 'regular'}, {'Node.js': 'regular'}, {'modern JS framework': 'regular'}]",
Javascript,Mid,Front-end Developer, Łódź,12 000 - 16 000 PLN,9 000 - 11 200 PLN,"[{'AngularJS': 'regular'}, {'Nuxt': 'regular'}, {'Vue.js': 'regular'}, {'JavaScript': 'regular'}, {'HTML': 'regular'}, {'CSS': 'regular'}]",
Javascript,Mid,Frontend Developer (React), Warszawa,9 500 - 17 800 PLN,7 915 - 14 830 PLN,"[{'React': 'advanced'}, {'TypeScript': 'advanced'}, {'MOBX': 'junior'}]",[{'Vue.js': 'nice to have'}]
Javascript,Senior,Senior Vue.js Engineer, Warszawa,15 000 - 25 000 PLN,No permanent information,"[{'JavaScript': 'master'}, {'Vue.js': 'advanced'}, {'Vuex': 'advanced'}, {'English': 'advanced'}, {'GraphQL': 'advanced'}, {'Tailwind UI': 'advanced'}, {'Tailwind CSS': 'advanced'}, {'Node.js': 'regular'}]","[{'Agile/Scrum': 'nice to have'}, {'React': 'nice to have'}]"
Javascript,Senior,Senior JavaScript Developer, Katowice,12 000 - 15 000 PLN,No permanent information,"[{'Angular or React': 'advanced'}, {'CSS/HTML': 'advanced'}, {'Clean Code': 'advanced'}, {'TypeScript': 'advanced'}, {'JavaScript': 'advanced'}, {'Unit Testing': 'regular'}]","[{'Cloud': 'nice to have'}, {'Node.js': 'nice to have'}]"
Javascript,Senior,Senior QA Engineer, Warszawa,22 000 - 23 000 PLN,No permanent information,[{'JavaScript': 'advanced'}],"[{'Salesforce': 'nice to have'}, {'SoapUI': 'nice to have'}, {'JMeter': 'nice to have'}, {'Parasof': 'nice to have'}]"
Javascript,Senior,Senior Node.js Developer, Warszawa,22 000 - 23 000 PLN,No permanent information,"[{'English': 'master'}, {'Node.js': 'advanced'}, {'JavaScript': 'advanced'}, {'TypeScript': 'advanced'}, {'MongoDB': 'advanced'}]",
Javascript,Senior,JavaScript Developer (Angular), Kraków,12 000 - 21 000 PLN,10 000 - 17 000 PLN,"[{'JavaScript': 'advanced'}, {'Angular': 'advanced'}, {'TypeScript': 'advanced'}, {'CSS3': 'regular'}, {'Unit Testing': 'regular'}, {'HTML5': 'junior'}]",
Javascript,Mid,React Developer, Warszawa,16 000 - 21 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'ReactJS': 'regular'}]",
Javascript,Mid,Frontend Developer (React), Kraków,12 000 - 18 000 PLN,10 000 - 15 000 PLN,"[{'Agile': 'advanced'}, {'JavaScript': 'advanced'}, {'Unit Testing': 'regular'}, {'React': 'regular'}, {'HTML': 'regular'}, {'CSS': 'regular'}, {'UI/UX': 'regular'}, {'Git': 'regular'}]",
Javascript,Mid,Frontend Developer, Poznań,7 500 - 12 000 PLN,6 200 - 10 000 PLN,"[{'HTML5': 'regular'}, {'JavaScript': 'regular'}, {'Vue.js': 'regular'}, {'Webpack': 'regular'}, {'PWA': 'junior'}, {'WCAG': 'junior'}]","[{'Cypress': 'nice to have'}, {'Node.js': 'nice to have'}, {'Magento': 'nice to have'}, {'Storybook': 'nice to have'}]"
Javascript,Mid,React Developer, Warszawa,11 800 - 18 480 PLN,No permanent information,"[{'React': 'regular'}, {'TypeScript': 'regular'}, {'JavaScript': 'regular'}]",
